research_node_id,category,prereq_1,prereq_2,prereq_3,prereq_othercategory,rank,Action,Object,Quantity,Unit,title,icon,description
research_hcpower_008,Power Production,,,,,I,Build,power_plant,3,units,Reheat Turbine Cycles,turbine,Increases Coal Power Plant output by 10% permanently.
research_hcpower_009,Power Production,research_hcpower_003,,,,III,Run,Power Plant,15,turns,Combined Heat & Power,chp,Reduces maintenance for all buildings by 5% permanently.
research_renew_015,Power Production,,,,,I,Build,onshore_wind_farm,3,units,Taller Turbine Towers,onwind,Increases Onshore Wind Farm output by 10% permanently.
research_renew_016,Power Production,,,,,I,Build,onshore_wind_farm,7,units,Variable-Pitch Control,pitch,Reduces Onshore Wind Farm maintenance by 10% for 20 turns.
research_renew_017,Power Production,research_renew_001,,,,II,Run,solar_farm,3,12 turns,Bifacial Panel Arrays,bifacial,Increases Solar Farm output by 5% permanently.
research_renew_018,Power Production,,,,,I,Build,solar_farm,3,units,Utility-Scale Inverters,inverter,Increases Solar Farm output by 10% permanently.
research_renew_019,Power Production,,,,,I,Build,solar_farm,7,units,Dual-Axis Tracking Farms,solar,Increases Solar Farm output by 10% permanently.
research_renew_020,Power Production,,,,,I,Run,solar_farm,5,20 turns,Perovskite Tandem Arrays,solar,Increases Solar Farm output by 5% permanently.
research_renew_021,Power Production,,,,,I,Build,battery,3,units,Containerised Battery Racks,battery,Reduces Battery Electric Storage maintenance by 10% for 20 turns.
research_inorg_021,Chemistry,,,,,I,Build,desal,3,units,Multi-Stage Flash Desal,desal,Increases Desalination Plant output by 20% permanently.
research_inorg_022,Chemistry,research_inorg_018,,,,III,Run,Desalination Plant,15,turns,Energy-Recovery Devices,erd,Reduces Desalination Plant power consumption by 50% permanently.
research_inorg_023,Chemistry,,,,,I,Run,water_pump,3,25 turns,Zero-Liquid Discharge,pump,Increases Water Pump output by 10% permanently.
research_inorg_025,Chemistry,,,,,I,Run,water_pump,3,25 turns,Novel Membrane Filtration,pump,Increases Water Pump output by 10% permanently.
research_recyc_003,Recycling,,,,,I,Build,water_recycling,3,units,Tertiary Filtration,filter,Increases Water Recycling Plant output by 15% permanently.
research_recyc_004,Recycling,,,,,I,Build,recycling_plant,3,units,Advanced Oxidation Loops,scrub,Unlocks new recipe: E-Waste Recycling (3 Copper Wiring).
research_recyc_005,Recycling,,,,,I,Build,water_recycling,7,units,Zero-Discharge Water,loop,Reduces Water Recycling Plant power consumption by 10% permanently.
research_biochem_008,Farming & Forestry,,,,,I,Build,new_forest,3,units,Automated Harvest Fleets,harvest,Reduces New Growth Forest and Old Growth Forest labour by 5% permanently.
research_infra_019,Infrastructure,,,,,I,Build,rails,3,units,Heavy Freight Corridors,rail,Increases rail throughput by 25% permanently.
research_infra_020,Infrastructure,research_infra_001,,,,III,Use Infrastructure,roads,10,80% for 5 turns,Smart Traffic Control,traffic,Increases road throughput by 25% permanently.
research_infra_021,Infrastructure,,,,,I,Build,rails,7,units,Double-Track Sidings,rail,Reduces Railways maintenance by 10% permanently.
research_infra_022,Infrastructure,,,,,I,Build,rails,5,,Heavy-Haul Bogies,rail,Increases rail throughput by 25% permanently.
research_infra_023,Infrastructure,research_infra_008,,,,III,Use Infrastructure,rails,10,80% for 5 turns,Electrified Rolling Stock,erail,Increases rail throughput by 25% permanently.
research_infra_024,Infrastructure,,,,,I,Build,rails,12,units,Automated Rail Yards,rail,Reduces Railways maintenance by 10% permanently.
research_infra_025,Infrastructure,,,,,I,Build,rails,12,units,Distributed-Power Trains,rail,Reduces transport cost by 5% permanently.
research_infra_026,Infrastructure,,,,,I,Build,reinf_pipes,3,units,Large-Diameter Mains,pipe,Reduces Reinforced Pipeworks maintenance by 10% permanently.
research_infra_027,Infrastructure,,,,,I,Build,pipes,3,units,Booster Pumping Stations,pipe,Reduces Pipeworks maintenance by 10% permanently.
research_infra_028,Infrastructure,,,,,I,Build,pipes,7,units,Trunk Pipeline Networks,pipe,Reduces transport cost by 5% permanently.
research_infra_029,Infrastructure,,,,,I,Use Infrastructure,pipes,3,80% for 5 turns,Smart Flow Control,pipe,Increases pipe throughput by 25% permanently.
research_infra_030,Infrastructure,,,,,I,Build,reinf_pipes,7,units,Double-Walled Pipelines,pipe,Reduces Reinforced Pipeworks maintenance by 10% permanently.
research_infra_031,Infrastructure,,,,,I,Build,pipes,12,units,Corrosion-Resistant Linings,pipe,Reduces Pipeworks maintenance by 10% permanently.
research_infra_032,Infrastructure,research_infra_003,,,,III,Use Infrastructure,pipes,10,80% for 5 turns,Leak-Detection Networks,leak,Increases pipe throughput by 25% permanently.
research_infra_033,Infrastructure,,,,,I,Use Infrastructure,reinf_pipes,3,80% for 5 turns,Ultra-High-Pressure Mains,manifold,Increases reinforced-pipe throughput by 25% permanently.
research_mfg_025,Manufacturing,research_mfg_002,,,,III,Run Profitable,assembly_plant,3,buildings,Coordinated Robot Handoff,handoff,Increases Assembly Plant output by 5% permanently.
research_infra_034,Infrastructure,research_infra_001,,,,III,Own,Roads,6,units,Electrified Road Haul,eroad,Increases road throughput by 25% permanently.
research_renew_022,Power Production,research_renew_017,,,,II,Run,solar_farm,3,12 turns,Anti-Reflective Coatings,arc,Increases Solar Farm output by 5% permanently.
research_renew_023,Power Production,research_renew_002,,,,II,Run,onshore_wind_farm,3,12 turns,Tall-Tower Wind Capture,onwind,Increases Onshore Wind Farm output by 5% permanently.
research_renew_024,Power Production,research_renew_002,,,,II,Run,offshore_wind_farm,3,12 turns,Marine Wind Profiling,offwind,Increases Offshore Wind Farm output by 5% permanently.
research_renew_025,Power Production,,,,,I,Produce,lithium_battery,30,units,Lithium Battery Storage,battery,Unlocks loading Lithium Ion Battery cells into battery storage (the all-round storage medium).
research_renew_026,Power Production,research_renew_025,,,,II,Produce,sodium_battery,50,units,Sodium Battery Storage,battery,Unlocks loading Sodium Ion Battery cells — cheaper storage that avoids lithium/rare earths.
research_renew_027,Power Production,research_renew_003,,,,III,Build,battery,10,buildings,Iron Air Long Duration Storage,storage,"Unlocks loading Iron Air Battery cells — the cheapest, long-duration bulk storage medium."
research_mfg_026,Manufacturing,,,,,I,Produce,motor,250,units,Axial Flux Motor Lines,motor,Unlocks new recipe: Axial Flux Motors (15 Motor).
research_mfg_027,Manufacturing,,,,,I,Produce,motor,250,units,Hairpin Stator Winding,motor,Unlocks new recipe: Hairpin Stator Motors (18 Motor).
research_mfg_028,Manufacturing,,,,,I,Build,assembly_plant,12,units,Heavy Engine Casting,assembly,Unlocks new recipe: Large Vehicle Engine Manufacturing (5 Large Engine).
research_mfg_029,Manufacturing,,,,,I,Produce,engine,250,units,Hybrid Powertrain Integration,assembly,Unlocks new recipe: Hybrid Engine Manufacturing (12 Engine).
research_mfg_030,Manufacturing,,,,,I,Build,assembly_plant,12,units,Electric Vehicle Assembly,assembly,Unlocks new recipe: EV Assembly (5 Ev Car).
research_mfg_031,Manufacturing,,,,,I,Produce,heavy_vehicle,250,units,Heavy Vehicle Assembly,assembly,Unlocks new recipe: Heavy Vehicles Automated Manufacturing (6 Heavy Vehicle).
research_mfg_032,Manufacturing,research_mfg_001,,,,II,Produce,ice_car,400,units,Automated Body-in-White Lines,press,Unlocks new recipe: Automated ICE Car Assembly (6 Ice Car).
research_mfg_033,Manufacturing,research_mfg_001,,,,II,Produce,heavy_vehicle,400,units,Electric Drivetrain Integration,motor,Unlocks new recipe: Electric Heavy Vehicles Manufacturing (5 Heavy Vehicle).
research_mfg_034,Manufacturing,research_mfg_001,,,,II,Build,factory,3,units,Electric Plant & Machinery,tools,Unlocks new recipe: Construction Equipment Assembly (EV) (10 Construction Equipment Ev).
research_mfg_035,Manufacturing,research_mfg_001,,,,II,Produce,electrical_components,400,units,Precision Electronics Assembly,assembly,Unlocks new recipe: Precision Electrical Components (14 Electrical Components).
research_mfg_036,Manufacturing,research_mfg_002,,,,III,Produce,motor,600,units,Synchronous Reluctance Drives,motor,Unlocks new recipe: SynRM Magnetless Motors (15 Motor).
research_mfg_037,Manufacturing,research_mfg_002,,,,III,Produce,solar_panel,600,units,Heterojunction Cell Lines,solar,Unlocks new recipe: Heterojunction Solar Panels (5 Solar Panel).
research_mfg_038,Manufacturing,research_mfg_002,,,,III,Produce,solar_panel,600,units,Tandem Cell Stacking,solar,Unlocks new recipe: Triple Tandem Solar Panels (6 Solar Panel).
research_mfg_039,Manufacturing,research_mfg_002,,,,III,Produce,cpu,600,units,Additive Semiconductor Printing,assembly,Unlocks new recipe: Semiconductor 3D Printing (4 Cpu).
research_renew_028,Power Production,research_renew_001,,,,II,Produce,wind_turbine,400,units,Segmented Blade Assembly,wind,Unlocks new recipe: Segmented Assembly Wind Turbines (4 Wind Turbine).
research_renew_029,Power Production,research_renew_001,,,,II,Run Multiple,farm|solar_farm,3|1,5 turns,Agrivoltaic Integration,solar,Unlocks new recipe: Agri Solar Farming (5 Food).
research_renew_030,Power Production,research_renew_001,,,,II,Build,high_tech_manufactory,3,units,Lithium Iron Phosphate Cells,battery,Unlocks new recipe: Lithium Phosphate Batteries (8 Lithium Battery).
research_renew_031,Power Production,research_renew_001,,,,II,Build,factory,3,units,Iron-Air Battery Cells,battery,Unlocks new recipe: Iron Air Batteries (6 Iron Battery).
research_metal_017,Metallurgy,research_metal_001,,,,II,Produce,alloy_ingots,400,units,Molten Salt Alloy Electrolysis,alloy,Unlocks new recipe: Alloy Metal Electrolysis (30 Alloy Ingots).
research_metal_018,Metallurgy,research_metal_004,,,,III,Produce,polysilicon,600,units,Czochralski Crystal Growth,glass,Unlocks new recipe: Fluidised Bed Reactor + CZ Silicon (6 Polysilicon).
research_inorg_024,Chemistry,research_inorg_004,,,,II,Run,Electrolyser,12,turns,Membraneless Electrolysis,cell,Unlocks new recipe: Membraneless Electrolysis (22 Hydrogen and 11 Oxygen).
research_petro_019,Chemistry,research_petro_001,,,,II,Produce,coal,800,units,Fischer-Tropsch Synthesis,oil,Unlocks new recipe: Coal Liquefaction (8 Fuels).
research_petro_020,Chemistry,,,,,II,Produce,hydrogen,400,units,Methane Pyrolysis,gas,Unlocks new recipe: Methane Pyrolysis (16 Hydrogen).
research_petro_021,Chemistry,,,,,I,Run,Petrochemical Refinery,10,turns,Specialised Petrochemical Pipelines,manifold,Increases Petrochemical Refinery output by 5% permanently.
research_biochem_009,Farming & Forestry,,,,,I,Produce,biomass,250,units,Energy Crop Cultivation,ferment,Unlocks new recipe: Sustainable Biomass Production (10 Biomass).
research_mining_017,Extraction,,,,,I,Produce,crude_oil,250,units,Shale Oil Fracturing,frack,Unlocks new recipe: Shale Oil Fracking (12 Crude Oil).
research_mining_018,Extraction,research_mining_017,,,,II,Produce,crude_oil,400,units,Dynamic-Positioning Drilling,rig,Unlocks new recipe: Deepwater Oil Extraction (12 Crude Oil).
research_mining_019,Extraction,research_mining_018,,,,III,Produce,crude_oil,1500,units,Subsea Production Systems,manifold,Unlocks new recipe: Subsea Manifold Extraction (14 Crude Oil).
research_recyc_006,Recycling,,,,,I,Produce,biomass,250,units,Biowaste Digestion,bio,Unlocks new recipe: Biowaste Recycling (24 Biomass).
research_hcpower_010,Power Production,,,,,I,Run,Power Plant,25,turns,Hydrogen Combustion Turbines,turbine,Unlocks new recipe: Hydrogen Power (100 Power).
research_infra_035,Infrastructure,research_infra_004,,,,III,Use Infrastructure,cables,10,80% for 5 turns,Dynamic Line Rating,hvdc1,Increases cable throughput by 25% permanently.
research_logi_006,Logistics,research_logi_001,,,,II,Build,port,3,units,Pallet Racking Systems,depot,Raises tile storage to 1600 (warehouse level 2).
research_logi_007,Logistics,research_logi_006,,,,II,Build,port,3,units,Automated Storage & Retrieval,depot,Raises tile storage to 2500 (warehouse level 3).
research_logi_008,Logistics,,,,,I,Stockpile filled,by 7+ buildings,5,turns,Just-in-Time Logistics,depot,Unlock JIT delivery from building producing a good to building consuming a good within the same tile. Reduces strain on warehouses.
research_logi_009,Logistics,research_logi_002,,,,III,Sell Through Ports Classes,solid_light|solid_heavy|ultra_heavy|safe_liquid|hazard_liquid|gas,1500,units each,Smart Shipping Contracts,contract,Increases port throughput by 25% permanently.
research_logi_010,Logistics,research_logi_002,,,,III,Own Port At Level,ports,2,level,Port Network Acquisition,port,Reduces the port ad valorem fee by a further 20% permanently.
research_biochem_010,Farming & Forestry,research_biochem_006,,,,III,Produce,biomass,300,units,Biomass Cracking,bio,Unlocks new recipes: Bio Ethylene (3 Ethylene directly from biomass) and Bio-Graphitisation.
